#regression dataset two feature linear
#y = 2.2*x1 + 0.8*x2 + noise
x0,x1,y
1.39,1.39,5.67
2.38,2.38,9.89
-1.49,-1.49,-2.08
0.49,0.49,3.88
5.17,5.17,12.71
-1.11,-1.11,2.83
-0.49,-0.49,3.15
5.01,5.01,12.72
2.91,2.91,10.35
3.29,3.29,12.08
3.91,3.91,11.47
-0.1,-0.1,1.91
0.65,0.65,5.94
2.19,2.19,7.69
1.35,1.35,3.44
2.08,2.08,5.75
1.33,1.33,5.61
2.41,2.41,8.48
3.08,3.08,10.64
2.66,2.66,10.13
4.39,4.39,13.3
-0.46,-0.46,1.51
2.91,2.91,8.76
2.59,2.59,5.73
1.61,1.61,2.62
1.31,1.31,4.81
2.46,2.46,7.63
-0.11,-0.11,1.19
-0.02,-0.02,3.99
2.21,2.21,5.21
2.85,2.85,8.21
-1.89,-1.89,-0.21
0.02,0.02,1.81
4.74,4.74,13.93
0.37,0.37,2.6
5.53,5.53,16.78
1.19,1.19,3.24
5.26,5.26,16.9
2.41,2.41,11.17
3.51,3.51,6.38
4.97,4.97,11.73
4.07,4.07,9.81
3.88,3.88,9.25
3.0,3.0,10.86
4.78,4.78,14.84
4.44,4.44,9.94
0.23,0.23,1.06
6.26,6.26,14.63
3.64,3.64,10.95
0.22,0.22,0.45
1.06,1.06,6.64
3.08,3.08,9.47
3.84,3.84,10.25
-0.53,-0.53,1.87
3.5,3.5,9.78
0.63,0.63,1.87
4.05,4.05,11.2
4.77,4.77,13.96
1.75,1.75,4.57
1.67,1.67,5.15
2.44,2.44,4.0
0.7,0.7,3.54
-0.16,-0.16,2.49
-1.29,-1.29,-1.61
1.95,1.95,7.51
4.26,4.26,14.08
2.2,2.2,7.99
3.37,3.37,5.81
3.53,3.53,7.84
-0.93,-0.93,1.14
5.39,5.39,14.58
1.84,1.84,6.23
1.51,1.51,6.79
3.9,3.9,10.06
0.7,0.7,2.3
1.72,1.72,7.64
0.36,0.36,3.44
2.84,2.84,11.04
2.98,2.98,8.01
5.22,5.22,14.6
5.46,5.46,14.09
2.76,2.76,6.03
5.29,5.29,13.96
1.07,1.07,1.36
2.09,2.09,6.31
1.46,1.46,6.34
2.98,2.98,5.51
3.58,3.58,12.23
-2.0,-2.0,-5.14
0.13,0.13,3.6
1.99,1.99,8.35
4.17,4.17,13.61
3.22,3.22,6.74
2.9,2.9,10.24
0.28,0.28,1.48
2.91,2.91,10.98
3.01,3.01,9.52
-3.92,-3.92,-3.11
7.39,7.39,19.18
4.38,4.38,10.66
