#classifier dataset two feature
# 1.6*x0 + 0.8*x1>0 ? 1: 0
x0,x1,y
2.35,2.35,1.0
4.89,4.89,1.0
-1.04,-1.04,0.0
5.35,5.35,1.0
4.6,4.6,1.0
2.92,2.92,1.0
3.8,3.8,1.0
2.7,2.7,1.0
2.8,2.8,1.0
0.36,0.36,1.0
5.91,5.91,1.0
0.08,0.08,1.0
3.77,3.77,1.0
3.11,3.11,1.0
-0.47,-0.47,0.0
2.97,2.97,1.0
0.42,0.42,1.0
3.47,3.47,1.0
1.45,1.45,1.0
4.45,4.45,1.0
1.08,1.08,1.0
5.15,5.15,1.0
1.57,1.57,1.0
1.26,1.26,1.0
-0.89,-0.89,0.0
1.23,1.23,1.0
1.43,1.43,1.0
3.46,3.46,1.0
4.04,4.04,1.0
6.6,6.6,1.0
0.8,0.8,1.0
4.34,4.34,1.0
-2.76,-2.76,0.0
3.76,3.76,1.0
3.43,3.43,1.0
2.26,2.26,1.0
2.55,2.55,1.0
6.2,6.2,1.0
0.63,0.63,1.0
0.23,0.23,1.0
0.18,0.18,1.0
4.35,4.35,1.0
1.3,1.3,1.0
2.92,2.92,1.0
1.65,1.65,1.0
0.04,0.04,1.0
2.23,2.23,1.0
1.7,1.7,1.0
4.04,4.04,1.0
1.82,1.82,1.0
0.87,0.87,1.0
2.44,2.44,1.0
0.32,0.32,1.0
-0.63,-0.63,0.0
-1.88,-1.88,0.0
4.63,4.63,1.0
-3.25,-3.25,0.0
4.61,4.61,1.0
0.47,0.47,1.0
-0.21,-0.21,0.0
4.33,4.33,1.0
1.63,1.63,1.0
1.49,1.49,1.0
2.79,2.79,1.0
4.08,4.08,1.0
1.27,1.27,1.0
-0.34,-0.34,0.0
0.91,0.91,1.0
1.91,1.91,1.0
-3.36,-3.36,0.0
-0.58,-0.58,0.0
-0.19,-0.19,0.0
-1.06,-1.06,0.0
2.38,2.38,1.0
3.52,3.52,1.0
4.36,4.36,1.0
1.43,1.43,1.0
2.42,2.42,1.0
0.82,0.82,1.0
1.4,1.4,1.0
5.5,5.5,1.0
-3.48,-3.48,0.0
1.38,1.38,1.0
2.83,2.83,1.0
2.55,2.55,1.0
0.48,0.48,1.0
1.15,1.15,1.0
2.78,2.78,1.0
3.63,3.63,1.0
2.92,2.92,1.0
4.41,4.41,1.0
-2.18,-2.18,0.0
3.6,3.6,1.0
3.08,3.08,1.0
-0.88,-0.88,0.0
0.46,0.46,1.0
3.36,3.36,1.0
3.81,3.81,1.0
3.07,3.07,1.0
4.43,4.43,1.0
