#regression dataset three feature
# y = 2.2*x1 + 0.8*x2 -1.7*x3 + noise
x0,x1,x2,y
1.26,1.54,2.34,0.51
2.2,0.87,-0.08,6.24
-0.39,5.37,6.34,-7.1
3.83,1.5,5.48,2.02
3.11,0.14,-4.03,14.02
-0.66,5.48,-1.65,5.84
0.05,5.01,5.26,-4.76
4.44,2.44,1.46,10.94
-0.24,3.79,-0.59,5.36
1.45,-4.05,1.49,-1.83
3.47,1.31,3.4,3.93
3.13,3.34,6.79,-1.93
0.91,1.45,0.51,2.52
-0.26,1.47,5.47,-7.39
1.88,4.09,2.11,4.91
1.27,-0.72,-1.23,4.55
2.35,3.36,-1.15,11.37
0.64,0.73,2.03,-1.34
0.79,2.14,1.47,2.9
3.48,1.43,4.99,1.6
0.15,-0.78,0.4,0.45
0.01,2.93,-1.18,4.59
3.61,-0.35,2.14,5.46
0.33,1.87,7.27,-9.34
4.53,-0.38,-1.16,11.95
0.1,0.92,2.64,-3.21
1.83,2.57,-2.09,10.44
3.1,-0.23,1.74,4.58
2.44,4.31,8.31,-3.93
2.44,2.16,5.3,-1.6
0.93,-1.83,-2.74,6.41
0.51,0.83,0.61,1.69
4.29,3.93,4.26,7.13
3.17,3.83,1.71,7.79
3.21,-0.81,-0.66,8.49
1.8,-1.34,-0.18,4.14
0.63,2.86,3.31,-0.81
0.21,3.53,3.56,-1.1
1.44,4.46,3.19,3.01
-0.23,1.4,-0.52,3.2
0.58,-2.61,3.75,-5.86
3.31,3.4,1.46,9.4
3.3,1.81,0.07,10.32
1.73,-0.62,8.82,-10.14
0.59,2.64,4.69,-3.36
-1.14,2.49,1.99,-2.3
1.68,2.39,-3.03,12.7
2.08,4.02,0.27,7.93
0.65,2.58,4.25,-3.66
3.02,2.21,1.71,6.37
2.57,0.52,7.45,-6.12
1.24,1.35,4.06,-2.24
3.15,0.25,3.71,2.17
3.54,-4.44,-2.18,8.98
4.14,-0.69,6.81,-1.6
4.24,5.12,1.37,11.87
4.28,3.21,1.79,10.01
5.18,-0.98,5.1,2.96
0.48,-2.33,3.85,-6.77
2.06,3.87,5.17,0.47
0.45,-2.58,1.66,-2.96
3.1,2.47,-2.32,14.05
4.4,2.19,0.03,12.39
1.51,1.02,-0.77,6.43
0.86,3.47,3.55,-1.16
3.1,-1.1,3.88,-0.57
0.98,0.84,-0.95,5.59
0.77,2.76,-0.32,6.3
0.13,1.97,2.08,-1.18
-0.8,1.88,-4.06,6.66
4.59,2.83,0.02,13.85
-0.91,2.41,1.53,-1.36
3.41,2.24,0.3,10.63
3.08,5.43,1.88,9.13
1.71,1.63,-1.2,8.2
-1.48,-1.43,0.66,-4.48
-0.44,4.29,2.57,-1.25
1.91,-1.44,2.41,-0.12
-1.1,4.11,-0.73,2.25
1.15,2.48,-1.97,9.69
0.83,1.89,3.05,-1.08
3.44,4.11,-1.14,14.44
1.75,0.48,0.57,4.97
0.26,1.28,2.45,-1.04
0.49,4.23,0.32,4.25
0.28,0.14,-5.76,10.89
4.41,1.59,1.98,9.24
1.57,1.53,1.76,3.43
4.0,-1.3,1.02,6.49
5.06,1.47,3.34,8.56
-1.97,-2.3,4.85,-13.13
1.5,-2.16,1.86,-0.7
1.31,4.22,3.32,1.64
2.48,1.28,-0.93,8.84
-0.21,3.1,2.21,0.06
1.17,-1.46,-2.48,6.77
2.65,-0.13,3.57,0.56
1.93,4.9,1.01,7.04
-0.55,-0.76,2.83,-5.28
3.57,0.32,2.9,4.02
