#regression dataset one feature
#y = 2.2*x + 3.8 + noise*0.01
x,y
-2.0,-0.6000000000000005
-1.93,-0.4360000000000006
-1.86,-0.2820000000000007
-1.79,-0.12800000000000078
-1.72,0.025999999999999572
-1.65,0.17999999999999994
-1.58,0.3339999999999994
-1.51,0.4879999999999993
-1.43,0.6639999999999999
-1.36,0.8179999999999994
-1.29,0.9619999999999993
-1.22,1.1159999999999997
-1.15,1.27
-1.08,1.4339999999999995
-1.01,1.5879999999999994
-0.94,1.7319999999999998
-0.87,1.8859999999999997
-0.8,2.0499999999999994
-0.73,2.194
-0.66,2.3579999999999997
-0.59,2.502
-0.52,2.6659999999999995
-0.44,2.832
-0.37,2.9959999999999996
-0.3,3.1499999999999995
-0.23,3.2939999999999996
-0.16,3.448
-0.09,3.6119999999999997
-0.02,3.7659999999999996
0.05,3.9099999999999997
0.12,4.064
0.19,4.228
0.26,4.382
0.33,4.526
0.4,4.6899999999999995
0.47,4.843999999999999
0.55,5.02
0.62,5.1739999999999995
0.69,5.318
0.76,5.481999999999999
0.83,5.635999999999999
0.9,5.79
0.97,5.933999999999999
1.04,6.088
1.11,6.252000000000001
1.18,6.406
1.25,6.55
1.32,6.704000000000001
1.39,6.867999999999999
1.46,7.022
1.54,7.198
1.61,7.352
1.68,7.496
1.75,7.66
1.82,7.804
1.89,7.958
1.96,8.112
2.03,8.276
2.1,8.430000000000001
2.17,8.574
2.24,8.738000000000001
2.31,8.892000000000001
2.38,9.046
2.45,9.190000000000001
2.53,9.366
2.6,9.52
2.67,9.674
2.74,9.828000000000001
2.81,9.991999999999999
2.88,10.136
2.95,10.3
3.02,10.444
3.09,10.597999999999999
3.16,10.762
3.23,10.916
3.3,11.059999999999999
3.37,11.224
3.44,11.368
3.52,11.544
3.59,11.698
3.66,11.852
3.73,12.006
3.8,12.17
3.87,12.324
3.94,12.468
4.01,12.632
4.08,12.786
4.15,12.94
4.22,13.094
4.29,13.238
4.36,13.402000000000003
4.43,13.556
4.51,13.732000000000001
4.58,13.876000000000001
4.65,14.040000000000001
4.72,14.194
4.79,14.338000000000001
4.86,14.502
4.93,14.646
5.0,14.81
