#regression dataset one feature no linear
#y = 3.8*x**2 + 1.8*x + 5 + noise
x,y
-2.0,19.13
-1.93,16.69
-1.86,15.17
-1.79,16.44
-1.72,14.39
-1.65,13.32
-1.58,12.68
-1.51,13.65
-1.43,12.05
-1.36,12.19
-1.29,11.25
-1.22,10.26
-1.15,9.05
-1.08,7.63
-1.01,9.03
-0.94,8.57
-0.87,7.07
-0.8,6.81
-0.73,7.31
-0.66,5.92
-0.59,6.76
-0.52,5.49
-0.44,5.91
-0.37,7.12
-0.3,5.47
-0.23,6.12
-0.16,5.24
-0.09,6.93
-0.02,5.6
0.05,7.84
0.12,6.93
0.19,8.13
0.26,7.76
0.33,7.45
0.4,9.19
0.47,8.43
0.55,9.13
0.62,9.26
0.69,10.42
0.76,11.05
0.83,11.08
0.9,10.69
0.97,10.41
1.04,13.25
1.11,13.59
1.18,13.54
1.25,14.26
1.32,14.7
1.39,17.55
1.46,18.41
1.54,18.72
1.61,20.41
1.68,19.3
1.75,21.5
1.82,23.56
1.89,22.02
1.96,24.19
2.03,25.83
2.1,26.25
2.17,26.82
2.24,29.39
2.31,31.13
2.38,33.12
2.45,33.72
2.53,36.34
2.6,35.7
2.67,39.63
2.74,39.32
2.81,41.64
2.88,44.67
2.95,45.23
3.02,46.69
3.09,47.6
3.16,49.67
3.23,50.68
3.3,54.03
3.37,55.47
3.44,57.25
3.52,58.89
3.59,61.72
3.66,63.58
3.73,67.28
3.8,68.07
3.87,70.71
3.94,71.36
4.01,73.39
4.08,75.81
4.15,79.38
4.22,82.71
4.29,83.39
4.36,87.65
4.43,87.56
4.51,90.44
4.58,95.43
4.65,98.23
4.72,98.4
4.79,101.6
4.86,105.51
4.93,108.59
5.0,109.99
